JJ_CTRL_1	BM_CTRL_2	BM_CTRL_3	BM_AMIL_1	BM_AMIL_2	BM_AMIL_3	BM_CTRL_1	JJ_CTRL_2	JJ_CTRL_3	JJ_AMIL_1	JJ_AMIL_2	JJ_AMIL_3	BM_TG_1	BM_TG_2	BM_TG_3	JJ_TG_1	JJ_TG_2	JJ_TG_3
ENSG00000004766	505	813	1128	1345	1620	1355	345	486	375	557	946	827	1279	1115	1366	606	1016	708
ENSG00000004776	4	10	13	16	8	3	3	5	4	1	6	2	18	10	23	5	9	6
ENSG00000004777	402	409	518	142	124	76	274	392	249	98	149	255	591	300	426	200	322	236
ENSG00000004779	1508	5493	6741	3820	6546	2842	2264	3994	1819	2926	5881	2131	4118	3178	4130	2722	4330	3125
ENSG00000004799	0	0	0	1	0	0	62	121	104	83	224	203	0	0	0	54	146	107
ENSG00000004809	0	0	0	0	0	1	10	22	20	18	49	26	0	0	0	13	18	21
ENSG00000004838	38	55	86	181	166	119	9	7	7	2	10	11	125	129	131	11	17	11
ENSG00000004846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004848	13	14	19	63	65	44	9	6	5	23	16	35	14	16	8	6	10	5
ENSG00000004864	1208	1797	2150	1547	1684	1178	734	790	452	492	831	910	2102	1648	2331	1007	1604	1135
ENSG00000004866	1470	2015	3040	4818	6307	4081	283	306	211	430	673	728	2449	1879	2468	479	754	566
ENSG00000004897	3313	5577	6267	4882	6545	4731	3326	4764	3027	2618	5028	5438	4313	3723	4971	3877	6934	4560
ENSG00000004939	0	1	1	2	11	3	0	0	0	0	0	0	1	2	1	0	0	0
ENSG00000004948	12	24	16	3	2	1	0	0	0	0	0	0	13	3	16	0	0	0
ENSG00000004961	638	953	1156	1408	1797	1285	719	728	459	643	1279	1356	852	655	833	552	981	678
ENSG00000004975	2001	2600	3154	1605	1873	1216	772	866	638	580	847	854	3066	2698	3247	832	1183	910
ENSG00000005001	4	4	6	0	5	4	1	0	1	0	1	0	5	1	2	0	1	1
ENSG00000005007	4524	5169	5675	6704	8939	5048	4653	5906	3485	3932	5697	7882	8233	6647	7620	6795	9996	7645
ENSG00000005020	800	1260	1522	2174	2394	1914	1141	1556	1012	884	1589	1746	1126	892	1068	768	1451	934
ENSG00000005022	17153	22583	30414	11363	13508	9253	10610	13144	8402	8562	13605	14401	16717	12955	18105	9306	14567	10531
ENSG00000005059	136	178	208	245	229	186	1163	1610	1186	1020	1997	2124	123	64	110	764	1300	810
ENSG00000005073	60	66	89	209	237	139	5	5	3	10	18	16	60	36	37	2	10	5
ENSG00000005075	1539	3712	2824	2552	4055	1078	533	589	422	441	633	791	3082	2701	3282	1054	1251	1041
ENSG00000005100	2367	3197	3931	4336	4641	3212	3938	5042	3237	4972	8103	8120	1701	1286	1783	2863	5090	3477
ENSG00000005102	16	27	39	171	185	130	0	0	0	0	0	0	6	0	6	0	0	0
ENSG00000005108	0	0	0	0	0	0	51	94	52	76	132	157	1	0	0	100	162	96
ENSG00000005156	2202	3152	3900	2798	3755	2280	2315	2873	1844	1854	3316	2982	3042	2950	3774	2400	3605	2646
ENSG00000005175	1705	2831	3046	2394	2723	2108	614	991	557	508	953	809	2310	1867	2417	790	1349	930
ENSG00000005187	199	347	359	64	62	32	141	189	153	76	132	81	368	352	478	138	213	174
ENSG00000005189	0	0	0	1	0	0	219	411	265	117	218	168	0	0	0	481	837	607
ENSG00000005194	1169	1784	2025	949	1376	852	3367	3882	2517	3076	5226	5425	1748	1639	2024	4006	5761	4284
ENSG00000005206	1399	1363	1575	521	430	132	642	806	581	385	557	840	1902	1009	1354	792	1477	1082
ENSG00000005238	31	49	61	51	76	46	34	62	46	22	34	36	64	48	65	31	44	37
ENSG00000005243	456	725	983	350	636	218	224	263	201	111	162	153	479	378	539	359	552	337
ENSG00000005249	175	303	324	106	169	109	17	13	12	5	13	12	348	212	328	15	26	18
ENSG00000005302	772	1265	1312	2325	2398	1733	696	992	680	742	1138	1388	1678	1357	1706	849	1392	1001
ENSG00000005339	4629	5130	6074	12702	17004	12498	1744	2459	1512	2020	2978	3712	5887	5088	5576	1718	2736	1821
ENSG00000005379	110	132	189	163	187	123	280	418	321	227	354	308	153	97	118	534	1238	793
ENSG00000005381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005421	1	2	2	1	0	0	132	179	104	95	143	161	0	1	0	207	235	143
ENSG00000005436	971	1523	2112	1565	1596	1121	437	630	370	427	885	661	1505	1204	1582	449	803	585
ENSG00000005448	1285	1167	1846	429	327	295	482	665	542	294	388	553	1593	1293	1804	870	1398	1022
ENSG00000005469	414	648	815	865	1016	703	120	165	90	91	191	185	826	592	854	134	272	167
ENSG00000005471	4	0	7	5	2	1	1	1	0	0	0	0	5	5	7	0	0	1
ENSG00000005483	6321	8486	10924	10230	12801	10291	2247	2868	1834	1696	2644	3362	7677	6711	8609	2053	3142	2293
ENSG00000005486	1360	1690	1991	1612	1675	1103	2101	2141	1504	2057	2720	3331	2665	2405	2559	2357	2985	2525
ENSG00000005513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005700	1198	2218	2581	1792	1965	1170	3497	4722	3004	2673	5168	5028	2419	2182	2627	3832	7268	5223
ENSG00000005801	1102	1830	2376	2027	2364	1622	414	592	353	265	583	617	1624	1323	1786	364	774	486
ENSG00000005810	2084	2537	3457	3266	3916	2998	2080	3473	2085	2308	4452	4327	2499	1882	2733	2705	5316	3164
ENSG00000005812	815	1171	1451	2175	3068	2306	1305	1763	1114	1315	2185	2455	976	778	985	1114	2018	1393
ENSG00000005844	2319	2962	3743	3426	3257	2231	8950	12844	8788	8475	14258	15164	2802	2118	3041	8655	13971	10210
ENSG00000005882	2338	3394	3200	1504	1182	924	33	36	29	14	33	24	4390	3939	4366	43	58	45
ENSG00000005884	290	420	574	264	233	132	22	20	15	12	18	33	291	207	303	22	50	30
ENSG00000005889	1404	1790	2207	2631	3269	2764	597	906	542	643	970	1068	1664	1304	1650	581	1014	674
ENSG00000005893	3910	5606	6827	8160	10410	6845	3403	3939	2948	2486	4495	4506	5193	4957	5285	2760	4297	3267
ENSG00000005955	2762	3832	4828	6567	8918	6826	1706	2221	1536	1702	2910	3442	3097	2563	3301	1708	2987	1944
ENSG00000005961	0	3	4	0	3	0	1	1	0	1	1	0	3	2	1	1	4	4
ENSG00000005981	0	0	0	2	1	1	0	2	4	8	10	9	0	0	0	0	3	3
ENSG00000006007	4090	5242	6566	5844	6895	4953	2385	2867	1901	2207	3383	4091	4863	4366	5041	2080	3267	2310
ENSG00000006015	570	480	586	94	100	57	498	588	382	223	345	528	733	390	512	462	781	528
ENSG00000006016	4	6	1	0	0	0	7	9	4	8	15	11	3	0	1	2	8	3
ENSG00000006025	791	1239	1560	598	533	276	408	564	394	167	285	377	1437	1117	1358	513	861	633
ENSG00000006042	321	470	604	171	156	106	39	54	39	58	107	89	599	479	731	32	66	27
ENSG00000006047	3	0	0	0	0	1	3	4	2	6	8	0	2	0	1	3	4	3
ENSG00000006059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062	1928	2509	3172	2894	3402	2288	2902	3631	2213	2658	3856	4746	1989	1619	1944	2946	4286	3259
ENSG00000006071	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000006074	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	1	0	0
ENSG00000006075	298	512	529	377	661	448	2837	4624	3491	1116	1475	1626	181	156	131	502	703	626
ENSG00000006114	4631	6513	8535	10250	13288	10407	2448	3288	2160	2233	3645	3802	5505	5259	6639	2457	4047	2837
ENSG00000006116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006118	36	53	62	13	9	8	309	364	268	101	159	154	9	2	4	94	146	133
ENSG00000006125	6940	9942	11967	8769	10497	7740	10970	14612	9514	9547	16712	16926	9576	7708	10290	12589	19987	13498
ENSG00000006128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006194	2727	3925	4572	4784	6214	4744	1195	1546	1102	1095	1637	2058	2637	2356	2832	1113	1678	1309
ENSG00000006210	3	5	9	4	0	2	1	1	1	1	1	0	0	0	0	0	0	0
ENSG00000006282	706	1107	1211	720	572	293	110	166	128	55	92	99	858	693	902	169	251	171
ENSG00000006283	0	1	2	2	2	2	0	0	0	0	0	0	1	1	1	0	1	0
ENSG00000006327	257	350	445	116	99	71	49	116	112	60	96	138	108	60	99	57	76	68
ENSG00000006377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006432	509	733	983	452	585	494	30	39	24	22	40	27	755	708	822	32	51	33
ENSG00000006451	5366	8030	9765	17567	18755	13453	2624	3602	2301	2988	5243	6311	8579	6846	8623	2650	4861	3260
ENSG00000006453	878	1270	1442	1219	1479	950	59	59	63	37	76	70	1413	1239	1656	36	62	47
ENSG00000006459	613	917	1190	3284	4450	3677	486	761	514	473	790	1030	1198	1171	1496	393	847	569
ENSG00000006468	0	0	0	1	0	0	548	799	427	1234	1918	2260	0	0	0	768	1273	773
ENSG00000006530	2043	3748	4451	1646	2070	1041	2231	2277	1725	1261	1922	1744	3784	3507	4513	2406	3449	2941
ENSG00000006534	177	130	205	130	73	64	62	122	69	34	71	106	117	60	84	48	43	36
ENSG00000006555	81	86	94	38	26	20	164	205	156	179	268	363	74	50	78	105	156	117
ENSG00000006576	866	1418	1853	1149	1493	950	1854	2659	2044	1069	1940	1543	1701	1708	1923	1944	3346	2347
ENSG00000006606	0	0	0	0	0	0	1	1	0	2	8	3	0	0	0	2	0	4
ENSG00000006607	1466	2039	2579	1371	1672	1145	745	1002	740	493	958	836	1579	1179	1644	718	1208	886
ENSG00000006611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006625	3956	5994	7286	3838	3969	2555	2878	3941	2526	1932	3490	3136	4276	3596	4786	2384	4285	3039
ENSG00000006634	5073	6983	8723	5492	7220	4644	2945	3931	2712	1891	3433	3085	6279	5277	6825	2844	5380	3801
ENSG00000006638	261	299	312	289	220	152	6	16	6	6	9	11	169	125	184	3	8	6
ENSG00000006652	964	2205	2721	6535	9523	4897	928	1555	881	944	1850	1772	2695	3375	3344	1693	3169	2252
ENSG00000006659	0	0	1	1	1	0	2	0	0	1	0	1	0	1	0	2	0	0
ENSG00000006695	688	895	1161	629	624	437	1376	1812	1240	1159	1796	1982	850	711	913	1269	1883	1397
ENSG00000006704	154	243	295	189	259	161	49	58	45	12	25	16	181	193	220	29	48	42
ENSG00000006712	1370	1781	2404	1091	1472	1085	1972	2980	1823	2563	3915	3518	2207	1779	2348	2685	3870	2785
ENSG00000006715	2588	3993	5190	7031	9928	6475	1500	1962	1263	1547	2989	3111	4074	3212	3975	1340	2277	1583
ENSG00000006740	79	122	150	34	31	28	12	18	8	12	25	25	167	153	180	26	48	35
ENSG00000006744	1551	3656	3717	1344	1559	854	5777	5799	4622	4627	8631	8208	3103	2644	3498	6408	9705	7371
ENSG00000006747	0	0	0	0	0	0	1	7	2	4	6	6	0	0	0	3	6	8
ENSG00000006756	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000006757	184	289	374	465	533	378	166	203	131	188	369	354	346	366	452	276	398	298
ENSG00000006788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006831	5424	8204	10211	6717	8307	6153	3609	4925	3252	2772	4626	5095	6476	5336	7037	3050	5163	3877
ENSG00000006837	6	6	11	77	79	88	8	8	2	15	26	26	20	24	31	13	28	20
ENSG00000007001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007038	4560	5170	6216	2956	2709	1558	2297	2662	2026	1325	2133	3075	3510	2265	3219	1526	2497	1936
ENSG00000007047	480	733	826	1041	1234	857	498	588	415	519	629	708	855	798	892	634	955	734
ENSG00000007062	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000007080	3587	3541	3861	3255	3658	2170	2634	3012	1880	2595	3545	4771	3321	2229	2762	2313	3199	2512
ENSG00000007129	19	22	32	39	25	47	866	1290	862	850	1498	1742	32	19	33	812	1419	1095
ENSG00000007168	3644	5189	6477	7589	9040	7045	7074	9412	5507	7087	12033	14235	4588	3745	4892	7757	13241	8950
ENSG00000007171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007174	0	0	0	0	0	0	29	41	11	14	15	13	0	0	0	29	30	13
ENSG00000007202	10168	14838	18889	7852	7402	5174	8974	11746	7084	8658	14361	14954	16293	13085	18103	12580	19494	14218
ENSG00000007216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007237	610	597	756	513	543	359	57	80	59	88	95	115	273	245	344	64	86	49
ENSG00000007255	482	640	1130	682	541	442	169	282	240	161	338	301	908	721	841	282	385	372
ENSG00000007264	0	0	0	0	0	0	245	327	275	149	232	265	1	1	0	166	344	299
ENSG00000007306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007312	1038	1296	1516	1233	1313	886	1994	2388	1739	2446	3483	3824	821	601	717	1636	2093	1556
ENSG00000007314	51	72	101	40	36	28	0	1	0	2	2	3	39	27	56	1	1	2
ENSG00000007341	115	164	202	172	205	155	201	286	156	134	201	243	303	294	341	318	546	384
ENSG00000007350	152	160	260	73	61	41	343	379	308	188	392	305	80	44	77	264	462	387
ENSG00000007372	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000007376	2579	2637	2651	1933	1819	829	1096	1286	861	1094	1463	2148	1962	1349	1408	1087	1379	1171
ENSG00000007384	40	30	52	24	30	13	4	4	6	6	7	27	45	20	23	3	12	6
ENSG00000007392	730	1088	1307	2030	3212	1477	746	1160	674	1224	2374	2624	1146	820	1196	1153	1953	1444
ENSG00000007402	24	52	60	19	19	11	11	17	7	7	3	11	41	39	37	4	7	13
ENSG00000007516	35	57	59	25	17	9	8	16	21	4	9	23	45	12	34	65	96	95
ENSG00000007520	1945	2113	2263	1791	1900	932	784	853	629	635	946	1222	1893	1354	1717	786	1020	951
ENSG00000007541	1942	2256	2580	456	321	156	470	588	436	408	535	888	3093	2194	2429	724	879	731
ENSG00000007545	856	1068	1388	1941	2669	1676	529	712	486	558	1013	1139	1185	1038	1201	563	1069	699
ENSG00000007866	255	390	470	259	267	150	59	64	46	53	97	49	297	257	293	59	62	54
ENSG00000007908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007923	3766	4944	5686	4905	5245	3332	3703	3595	2291	3313	5542	6040	3281	2304	3292	2752	4279	3114
ENSG00000007933	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
ENSG00000007944	862	1081	1233	957	975	605	833	1083	846	735	1073	1163	840	678	855	651	1095	751
ENSG00000007952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007968	5178	6056	7492	2325	2685	1924	5711	6686	4246	3893	6360	7072	5231	3556	5316	4456	6774	4641
ENSG00000008018	6173	8871	15830	7214	12025	6317	3870	6139	3806	3555	6710	5143	9959	7409	10048	4948	7930	5549
ENSG00000008056	0	0	0	1	0	3	1	0	0	1	0	0	0	0	0	0	0	0
ENSG00000008083	1696	2188	2637	1983	2645	1678	1082	1315	962	832	1493	1520	1845	1492	1848	1066	1557	1113
ENSG00000008086	11	18	23	29	57	24	8	10	5	3	9	13	24	26	23	13	17	7
ENSG00000008118	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008128	145	185	232	627	708	414	230	315	188	253	414	485	460	359	441	437	660	500
ENSG00000008130	3401	5017	6375	3337	4098	2308	1896	3049	1768	1683	3422	3073	4287	2900	4046	3370	4939	3906
ENSG00000008196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	22	18	32	14	6	4	2	2	1	2	2	4	46	21	56	1	1	2
ENSG00000008256	51	67	67	55	56	45	482	590	347	460	864	909	120	111	124	451	690	512
ENSG00000008277	693	959	1280	490	395	255	1407	1966	1220	912	1628	1725	1585	1113	1564	1525	2918	2050
ENSG00000008282	6525	10563	13711	10235	12091	7589	1641	2182	1417	1204	2206	2673	7185	5252	7129	1043	2054	1453
ENSG00000008283	700	859	1039	623	512	361	823	952	603	840	1344	1475	651	439	558	822	1154	957
ENSG00000008294	4953	7577	9856	12789	17406	13182	2031	2878	2064	2243	3573	4438	7897	6928	8142	2373	4207	2879
ENSG00000008300	938	1121	1474	380	329	150	925	1299	882	531	947	1223	1416	1153	1294	1075	1774	1277
ENSG00000008311	43	101	92	61	89	53	175	278	158	115	198	234	197	156	208	210	319	202
ENSG00000008323	13	9	7	2	3	2	25	25	21	3	4	5	5	1	3	10	12	13
ENSG00000008324	1284	1920	2714	1660	1904	1315	1147	1340	973	897	1802	1532	1269	1208	1408	970	1725	1153
ENSG00000008382	452	528	660	222	287	173	248	366	323	169	240	369	582	426	578	535	729	594
ENSG00000008394	438	572	734	297	356	189	3243	3720	2418	2305	4149	4332	640	462	665	2393	3825	2700
ENSG00000008405	1	1	2	0	0	0	578	729	463	619	1247	978	0	0	0	712	1030	843
ENSG00000008438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008441	32	57	65	37	41	32	1222	1614	1034	956	1464	1616	28	11	25	761	1143	808
ENSG00000008513	4979	6457	8002	5672	6412	5042	13606	19324	13753	11553	18792	18316	3422	2781	3899	8139	14030	10567
ENSG00000008516	7	13	19	30	32	31	17	32	22	17	19	20	6	1	3	14	17	13
ENSG00000008517	55	69	109	93	84	47	48106	71416	45517	35126	54120	69973	30	18	21	24988	38745	26646
ENSG00000008710	1475	1492	1623	1577	1504	621	1134	1717	1387	993	1343	2182	2222	1544	1474	1499	2355	1884
ENSG00000008735	20	27	38	27	17	9	3	2	0	3	1	8	122	82	138	7	6	5
ENSG00000008838	4332	4962	6336	4344	4718	3187	3091	4035	2311	4079	5172	6122	8333	7429	9135	4827	7033	5137
ENSG00000008853	1745	2150	2606	1607	1758	1301	301	351	204	487	730	741	1337	1123	1564	299	367	263
ENSG00000008869	1251	1825	2333	1214	1324	929	1184	1460	1003	765	1261	1450	1840	1299	1978	1528	2690	1914
ENSG00000008952	4011	5899	7754	11038	13089	10122	2934	3670	2440	3514	5798	6798	5192	4448	5383	2968	4947	3480
ENSG00000008988	20503	29582	35443	24187	30366	18254	34151	45136	26142	25836	42804	45283	27117	26199	33353	31565	54498	36882
ENSG00000009307	17947	28810	36288	27779	33481	24127	41880	53608	37743	34805	54531	58981	18526	14678	21400	34968	59657	42149
ENSG00000009335	4694	6723	8059	5471	6463	4302	6836	8030	5671	5650	9543	9711	4825	3779	5034	5713	9789	7343
ENSG00000009413	1219	1580	2058	2330	3287	2464	1210	1832	1179	977	1704	2001	1848	1624	2078	1046	2116	1345
ENSG00000009694	5	8	10	16	20	12	48	91	46	27	61	75	9	1	7	57	129	56
ENSG00000009709	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000009724	2	8	1	65	44	35	1	0	0	0	1	0	8	3	8	3	3	4
ENSG00000009765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009780	99	146	186	118	130	93	247	332	240	154	319	392	141	118	159	325	537	365
ENSG00000009790	668	900	1283	459	515	355	1701	2533	1740	1480	2807	2806	724	483	760	1306	2342	1550
ENSG00000009830	502	696	816	350	434	287	138	189	124	99	137	220	557	448	642	229	371	267
ENSG00000009844	2266	4088	4588	4313	5803	3930	1680	2349	1309	1745	2705	2854	3841	3789	4375	1855	3222	2190
ENSG00000009950	4	3	5	1	4	0	6	7	3	1	5	3	4	0	3	4	4	9
ENSG00000009954	10648	14089	17008	19721	25811	19051	6619	8457	5393	6087	10216	11134	12651	10078	13699	7358	11901	8379
ENSG00000010017	2052	2823	3834	4962	6031	4706	2437	3489	2494	2411	3467	3801	3488	3315	3910	2812	4810	3347
ENSG00000010030	4	7	8	0	1	0	1	2	1	1	2	1	2	3	4	0	1	0
ENSG00000010072	918	1319	1571	1386	1762	1209	682	787	512	608	1118	1029	999	777	926	463	783	552
ENSG00000010165	3539	4999	5938	5296	6228	4698	3169	4065	2291	3635	5908	6532	4273	4117	5057	3289	5223	3431
ENSG00000010219	383	690	717	558	629	485	316	428	246	229	504	499	623	512	686	272	492	292
ENSG00000010244	9838	14764	18272	22930	29683	21375	8387	11002	6583	11111	19053	20596	12285	8992	12960	8696	13850	9587
ENSG00000010256	6245	7546	10055	3106	3977	2109	7614	9053	6918	4289	8061	4640	9087	8254	10346	8288	11563	8655
ENSG00000010270	597	977	1407	630	812	542	1194	1525	1217	858	1758	2092	1296	1186	1408	1537	2580	1760
ENSG00000010278	10957	14771	16528	5412	7469	4605	0	4	2	2	2	3	8839	4928	7924	2	6	4
ENSG00000010282	0	0	0	0	0	0	0	3	1	0	2	4	0	0	0	1	3	1
ENSG00000010292	10467	12429	16626	6453	7812	5822	7147	10157	5769	3818	7041	6538	12704	10046	14735	7710	12362	8144
ENSG00000010295	470	620	730	1487	1780	1046	404	506	289	683	872	1158	649	442	526	597	940	687
ENSG00000010310	368	507	775	93	48	28	33	47	42	64	95	119	438	289	429	47	54	68
